Šifra artikla,Jedinica mjere ,Naziv artikla,Stanje zaliha,Knjigovodstveno stanje
1,kom,ADING ROLNA 57 MM  1+0 (PAK 10/1),"1,000","1,000"
107,kom,BLANKO 240X12 1+1,"0,000","0,000"
116,kom,BLANKO 240X12 1+0,"1,000","1,000"
117,kom,BLOK 5,"154,000","154,000"
119,kom,BLOK 4,"65,000","65,000"
125,kom,"BATERIJA 1.5V LR6 AA,AAA 1/4 (MAXELL) LR6","21,000","21,000"
1103,kom,KOVERTA 1000 AD ŽUTA,"5,000","5,000"
1203,kom,"LEPAK ""OHO"" 20 GR.","47,000","47,000"
1417,kom,MUNICIJA ZA HEFT.1000/1 1,"0,000","0,000"
2001,kom,SVESKA A5 TP LATAJN 2-25,"85,000","85,000"
2003,kom,SPAJALICE,"48,000","48,000"
2105,kom,WIN-TEHNIČKA OLOVKA 0.5,"59,000","59,000"
2409,kom,FAX ROLNA 210X20,"27,000","27,000"
2413,kom,FASCIKLA KARTONSKA-BELA,"44,000","-6,000"
2505,kom,HAMER B1,"157,000","157,000"
2952,kom,ZDRAVSTVENA KNJIŽICA SL210031-29/601,"270,000","270,000"
3186,kom,FASCIKLA SA GUMOM  PLASTIFICIRANA ORANŽ,"24,000","24,000"
3312,kom,REČNIK  2 KOLONE,"3,000","3,000"
3315,kom,BLOK 3,"162,000","162,000"
3316,kom,BLOK 2,"42,000","42,000"
3328,kom,"LEPAK ""OHO"" 40 GR.","187,000","187,000"
3440,kom,RADNA SVESKA IZ VJERONAUKE III,"6,000","6,000"
3441,kom,RADNA SVESKA IZ VJERONAUKE IV,"3,000","3,000"
3552,kom,JEMSTVENIK 100 M,"3,000","3,000"
3903,kom,PAR-ROLER VECTOR BELI 4468220742100,"0,000","0,000"
4136,kom,FASCIKLA KEPER,"0,000","0,000"
4219,kom,FAX ROLNA 210X30,"0,000","0,000"
4245,kom,PAR-ULOŽAK ZA ROLER PLAVI F 4667925032400,"1,000","1,000"
4371,kom,INDEX SVESKA A4 100 LISTA,"2,000","2,000"
4696,kom,KALKULATOR CASIO FX-82MS (FX-82-MS-WA-GH),"0,000","0,000"
4929,kom,HEMIJSKA OL. 1522,"6,000","6,000"
4941,kom,UPALJAČ PVC ELEKTRONSKI PLAVI (SONIC) 20.032.82,"8,000","8,000"
5263,kom,SVESKA A5 MP DIKTO,"22,000","22,000"
5265,kom,BLOK ZA BELEŠKE A5 DIKTO,"0,000","0,000"
5851,kom,PAR-TEH.OL.VECTOR BELA 4468240732100,"11,000","11,000"
6158,kom,TURBINSKA MERILA ZAP.TEČ.,"1,000","1,000"
6385,kom,KRAVATE TALIJANSKE,"4,000","4,000"
6405,kom,PAR-ROLER VECTOR S.STEEL 4465129942100,"6,000","6,000"
6554,kom,ŠT-GRAFITNA OL. TRADICION,"216,000","216,000"
6814,kom,PAR-NALIV PERO VECTOR S.STEEL 2025443,"3,000","3,000"
6934,kom,ULOŽAK METALNI CRNI,"120,000","120,000"
7541,kom,ŠT-ZAREZAČ 511 006 511 006,"1,000","1,000"
7729,kom,ŠT-DRVENE BOJE 144 NC 12 10730,"73,000","73,000"
7737,kom,ŠT-GRAF.OL.NORIS 122 SA GUMICO 122-HB,"1,000","1,000"
8155,kom,MARAMA SVILENA,"5,000","5,000"
8326,kom,PAR-TEH.OL.JOTTER S.STEEL 4485149932101,"2,000","2,000"
8516,kom,BATERIJA 9V ALKALNA 6LF22 6LF22,"8,000","8,000"
8904,kom,PAR-ULOŽAK ZA HO PLAVI F 1950368,"7,000","7,000"
9166,kom,KNJIGA ŠANKA A3 USKA,"10,000","10,000"
9249,kom,CROSS 8101 UL.ZA BP-CRN F 8101,"4,000","4,000"
9250,kom,CROSS 8523 UL.ZA RB CRNI,"1,000","1,000"
9254,kom,CROSS 792 BP,"0,000","0,000"
9327,kom,ŠT-GUMICA U OLOVCI 526 61 526 61,"26,000","26,000"
9351,kom,CROSS 8521 UL.ZA RB PLAVI,"15,000","15,000"
9416,kom,CROSS 175-5 RB,"1,000","1,000"
9478,kom,PAR-TEH.OL.JOTTER BELA 4487140732101,"36,000","36,000"
9865,kom,SH-1003 RB.TARGA,"1,000","1,000"
